templateName	attackSpeed	speedSkill	damageSkill	toughnessSkill	pointBlankRange	pointBlankAccuracy	idealRange	idealAccuracy	maxRange	maxRangeAccuracy	accuracySkill	categoryAccuracySkill	defenseSkill	defenseSkill2	weaponFamily	postureMultiplier	secondaryDefenseSkill	secondaryDefenseResult	woundsRatio	armorPiercing
__family_polearmlightsaber	5.1	polearmlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	polearmlightsaber_accuracy	melee_accuracy	melee_defense		polearmlightsaber	1.0	saber_block	RICOCHET	19	2
object/weapon/creature/creature_default_weapon.iff	2.0	unarmed_speed	unarmed_damage		0.0	7.0	5.0	7.0	5.0	7.0	unarmed_accuracy	melee_accuracy	unarmed_passive_defense	melee_defense	unarmed	1.0	unarmed_passive_defense	RANDOM	5	0
object/weapon/melee/2h_sword/2h_sword_battleaxe.iff	4.5	twohandmelee_speed		twohandmelee_toughness	0.0	5.0	5.0	5.0	5.0	5.0	twohandmelee_accuracy	melee_accuracy	melee_defense		twohandmelee	1.0	counterattack	COUNTER	17	2
object/weapon/melee/2h_sword/2h_sword_battleaxe_quest.iff	4.5	twohandmelee_speed		twohandmelee_toughness	0.0	7.0	3.0	7.0	4.0	7.0	twohandmelee_accuracy	melee_accuracy	melee_defense		twohandmelee	1.0	counterattack	COUNTER	17	2
object/weapon/melee/2h_sword/2h_sword_blacksun_hack.iff	2.7	twohandmelee_speed		twohandmelee_toughness	0.0	-3.0	3.0	-9.0	5.0	0.0	twohandmelee_accuracy	melee_accuracy	melee_defense		twohandmelee	1.0	counterattack	COUNTER	18	2
object/weapon/melee/2h_sword/2h_sword_cleaver.iff	4.1	twohandmelee_speed		twohandmelee_toughness	0.0	-15.0	5.0	-15.0	5.0	-15.0	twohandmelee_accuracy	melee_accuracy	melee_defense		twohandmelee	1.0	counterattack	COUNTER	27	2
object/weapon/melee/2h_sword/2h_sword_katana.iff	3.0	twohandmelee_speed		twohandmelee_toughness	0.0	1.0	3.0	1.0	4.0	1.0	twohandmelee_accuracy	melee_accuracy	melee_defense		twohandmelee	1.0	counterattack	COUNTER	30	2
object/weapon/melee/2h_sword/2h_sword_katana_quest.iff	3.5	twohandmelee_speed		twohandmelee_toughness	0.0	3.0	5.0	3.0	5.0	3.0	twohandmelee_accuracy	melee_accuracy	melee_defense		twohandmelee	1.0	counterattack	COUNTER	22	2
object/weapon/melee/2h_sword/2h_sword_maul.iff	5.6	twohandmelee_speed		twohandmelee_toughness	0.0	-36.0	3.0	-36.0	4.0	-36.0	twohandmelee_accuracy	melee_accuracy	melee_defense		twohandmelee	1.0	counterattack	COUNTER	25	2
object/weapon/melee/2h_sword/2h_sword_maul_ranged.iff	5.6	twohandmelee_speed		twohandmelee_toughness	0.0	-36.0	3.0	-36.0	32.0	-36.0	twohandmelee_accuracy	melee_accuracy	melee_defense		twohandmelee	1.0	counterattack	COUNTER	25	2
object/weapon/melee/2h_sword/2h_sword_scythe.iff	4.7	twohandmelee_speed		twohandmelee_toughness	0.0	10.0	5.0	10.0	6.0	10.0	twohandmelee_accuracy	melee_accuracy	melee_defense		twohandmelee	1.0	counterattack	COUNTER	30	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_gen1.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_gen2.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	19	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_gen2_ranged.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	32.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	19	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_gen3.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	25	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_gen3_ranged.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	32.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	25	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_gen4.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	37	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_gen4_ranged.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	32.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	37	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_gen5.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	45	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s1.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s1_gen1.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s1_gen2.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	19	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s1_gen3.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	25	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s1_gen4.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	37	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s10.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s10_gen1.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s10_gen2.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	19	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s10_gen3.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	25	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s10_gen4.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	37	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s11.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s11_gen1.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s11_gen2.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	19	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s11_gen3.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	25	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s11_gen4.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	37	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s12.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s12_gen1.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s12_gen2.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	19	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s12_gen3.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	25	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s12_gen4.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	37	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s13.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s13_gen1.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s13_gen2.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	19	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s13_gen3.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	25	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s13_gen4.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	37	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s2.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s2_gen1.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s2_gen2.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	19	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s2_gen3.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	25	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s2_gen4.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	37	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s3.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s3_gen1.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s3_gen2.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	19	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s3_gen3.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	25	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s3_gen4.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	37	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s4.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s4_gen1.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s4_gen2.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	19	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s4_gen3.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	25	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s4_gen4.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	37	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s5.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s5_gen1.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s5_gen2.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	19	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s5_gen3.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	25	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s5_gen4.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	37	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s6.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s6_gen1.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s6_gen2.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	19	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s6_gen3.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	25	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s6_gen4.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	37	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s7.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s7_gen1.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s7_gen2.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	19	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s7_gen3.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	25	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s7_gen4.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	37	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s8.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s8_gen1.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s8_gen2.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	19	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s8_gen3.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	25	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s8_gen4.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	37	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s9.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s9_gen1.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	15	2
object/weapon/melee/2h_sword/crafted_saber/sword_lightsaber_two_handed_s9_gen2.iff	4.8	twohandlightsaber_speed		lightsaber_toughness	0.0	20.0	3.0	15.0	5.0	5.0	twohandlightsaber_accuracy	melee_accuracy	melee_defense		twohandlightsaber	1.0	saber_block	RICOCHET	19	2
